     1.898    589.110 # matmult_blk 7
     3.375    842.871 # matmult_blk 7
     7.594   1048.297 # matmult_blk 7
    14.648   1116.401 # matmult_blk 7
    30.375   1133.993 # matmult_blk 7
    60.961   1158.764 # matmult_blk 7
   124.898   1183.038 # matmult_blk 7
   248.648   1182.889 # matmult_blk 7
   499.594   1180.698 # matmult_blk 7
   994.594   1175.985 # matmult_blk 7
  1998.375   1172.175 # matmult_blk 7
  3997.711   1181.208 # matmult_blk 7
  7993.500   1172.469 # matmult_blk 7
 15990.844   1184.598 # matmult_blk 7
 31974.000   1163.736 # matmult_blk 7
 63963.375   1179.110 # matmult_blk 7
127896.000   1133.743 # matmult_blk 7
