0  375.70674
100  12.87553
200  7.31881
300  5.19800
400  4.04950
500  3.32023
600  2.81233
700  2.43651
800  2.14631
900  1.91501
1000  1.72608
1100  1.56870
1200  1.43542
1300  1.32095
1400  1.22143
1500  1.13397
1600  1.05636
1700  0.98690
1800  0.92429
1900  0.86746
2000  0.81559
2100  0.76800
2200  0.72415
2300  0.68359
2400  0.64595
2500  0.61091
2600  0.57822
2700  0.54765
2800  0.51900
2900  0.49211
3000  0.46683
3100  0.44303
3200  0.42061
3300  0.39946
3400  0.37948
3500  0.36060
3600  0.34275
3700  0.32585
3800  0.30985
3900  0.29468
