0  13953.96688  13139.84776
100  22.45684  42070.28320
200  35.95874  38906.86943
300  35.80121  35295.43863
400  33.39373  31840.39622
500  30.53376  28655.73055
600  27.69392  25758.58511
700  25.02353  23138.22264
800  22.56808  20775.04624
900  20.33433  18647.14698
1000  18.31366  16732.83079
1100  16.49137  15011.62702
1200  14.85087  13464.66229
1300  13.37547  12074.75194
1400  12.04923  10826.36281
1500  10.85735  9705.51888
1600  9.78628  8699.68424
1700  8.82371  7797.64061
1800  7.95853  6989.36787
1900  7.18074  6265.93132
2000  6.48134  5619.37699
2100  5.85229  5042.63494
2200  5.28635  4529.42931
2300  4.77707  4074.19334
2400  4.31865  3671.98694
2500  3.90590  3318.41401
2600  3.53417  3009.53691
2700  3.19930  2741.78594
2800  2.89757  2511.86406
2900  2.62562  2316.65024
3000  2.38047  2153.10917
3100  2.15943  2018.21911
3200  1.96009  1908.93105
3300  1.78029  1822.16791
3400  1.61809  1754.86444
3500  1.47176  1704.03692
3600  1.33972  1666.86480
3700  1.22059  1640.76478
3800  1.11309  1623.44366
3900  1.01609  1612.92397
