0  304.33899
100  9.90915
200  5.46788
300  3.78507
400  2.87901
500  2.30656
600  1.90962
700  1.61694
800  1.39145
900  1.21188
1000  1.06513
1100  0.94270
1200  0.83888
1300  0.74967
1400  0.67223
1500  0.60442
1600  0.54466
1700  0.49171
1800  0.44459
1900  0.40252
2000  0.36485
2100  0.33103
2200  0.30063
2300  0.27325
2400  0.24855
2500  0.22626
2600  0.20612
2700  0.18790
2800  0.17141
2900  0.15648
3000  0.14296
3100  0.13070
3200  0.11958
3300  0.10949
3400  0.10034
3500  0.09203
3600  0.08448
3700  0.07762
3800  0.07139
3900  0.06572
