0  322.76582
100  10.69036
200  5.96094
300  4.16518
400  3.19681
500  2.58423
600  2.15906
700  1.84539
800  1.60374
900  1.41143
1000  1.25449
1100  1.12383
1200  1.01328
1300  0.91851
1400  0.83637
1500  0.76453
1600  0.70122
1700  0.64507
1800  0.59498
1900  0.55010
2000  0.50970
2100  0.47321
2200  0.44013
2300  0.41006
2400  0.38264
2500  0.35758
2600  0.33462
2700  0.31354
2800  0.29414
2900  0.27625
3000  0.25973
3100  0.24443
3200  0.23025
3300  0.21708
3400  0.20484
3500  0.19342
3600  0.18278
3700  0.17283
3800  0.16353
3900  0.15481
