0  176729.63754
100  55140.48761
200  34851.87596
300  23937.56553
400  17392.87079
500  13168.27735
600  10290.92693
700  8250.21107
800  6756.35626
900  5634.25051
1000  4772.65286
1100  4098.09742
1200  3560.57521
1300  3125.20611
1400  2767.16157
1500  2468.45871
1600  2215.88145
1700  1999.60048
1800  1812.23551
1900  1648.20217
2000  1503.24643
2100  1374.10597
2200  1258.26016
2300  1153.74394
2400  1059.00872
2500  972.81842
2600  894.17199
2700  822.24588
2800  756.35151
2900  695.90395
3000  640.39880
3100  589.39529
3200  542.50373
3300  499.37630
3400  459.70012
3500  423.19198
3600  389.59437
3700  358.67229
3800  330.21073
3900  304.01261
4000  279.89703
4100  257.69782
4200  237.26221
4300  218.44971
4400  201.13109
4500  185.18743
4600  170.50933
4700  156.99613
4800  144.55516
4900  133.10118
5000  122.55573
5100  112.84660
5200  103.90734
5300  95.67681
5400  88.09872
5500  81.12126
5600  74.69677
5700  68.78137
5800  63.33465
5900  58.31946
6000  53.70156
6100  49.44945
6200  45.53414
6300  41.92892
6400  38.60922
6500  35.55242
6600  32.73769
6700  30.14584
6800  27.75921
6900  25.56157
7000  23.53792
7100  21.67451
7200  19.95862
7300  18.37859
7400  16.92365
7500  15.58390
7600  14.35021
7700  13.21419
7800  12.16811
7900  11.20485
8000  10.31784
8100  9.50105
8200  8.74892
8300  8.05633
8400  7.41858
8500  6.83130
8600  6.29052
8700  5.79255
8800  5.33400
8900  4.91175
9000  4.52293
9100  4.16489
9200  3.83519
9300  3.53159
9400  3.25202
9500  2.99459
9600  2.75753
9700  2.53924
9800  2.33823
9900  2.15313
