0  681.69723
100  24.82672
200  14.53775
300  10.56580
400  8.39423
500  7.00345
600  6.02712
700  5.29943
800  4.73392
900  4.28072
1000  3.90877
1100  3.59746
1200  3.33244
1300  3.10337
1400  2.90263
1500  2.72450
1600  2.56465
1700  2.41978
1800  2.28734
1900  2.16539
2000  2.05240
2100  1.94716
2200  1.84874
2300  1.75638
2400  1.66945
2500  1.58746
2600  1.50998
2700  1.43666
2800  1.36718
2900  1.30130
3000  1.23876
3100  1.17938
3200  1.12295
3300  1.06930
3400  1.01830
3500  0.96978
3600  0.92362
3700  0.87970
3800  0.83790
3900  0.79811
