0  537.64920
100  19.28113
200  11.21131
300  8.10563
400  6.41200
500  5.32978
600  4.57163
700  4.00763
800  3.57006
900  3.21990
1000  2.93288
1100  2.69297
1200  2.48901
1300  2.31300
1400  2.15904
1500  2.02272
1600  1.90068
1700  1.79038
1800  1.68982
1900  1.59750
2000  1.51220
2100  1.43298
2200  1.35909
2300  1.28992
2400  1.22499
2500  1.16388
2600  1.10626
2700  1.05183
2800  1.00036
2900  0.95162
3000  0.90543
3100  0.86163
3200  0.82006
3300  0.78059
3400  0.74310
3500  0.70747
3600  0.67361
3700  0.64141
3800  0.61079
3900  0.58166
