     248.648   1649.924 # matmult_gpu3
     499.594   4601.783 # matmult_gpu3
     994.594  12003.220 # matmult_gpu3
    1998.375  32113.494 # matmult_gpu3
    3997.711  65573.587 # matmult_gpu3
    7993.500 151951.741 # matmult_gpu3
   15990.844 290826.253 # matmult_gpu3
   31974.000 496345.820 # matmult_gpu3
   63963.375 699066.154 # matmult_gpu3
  127896.000 895283.757 # matmult_gpu3
  255853.500 1038482.569 # matmult_gpu3
  511584.000 1187027.536 # matmult_gpu3
 1021556.344 1234262.023 # matmult_gpu3
 2046336.000 1311947.601 # matmult_gpu3
