     248.648     75.439 # matmult_lib
     499.594   2788.089 # matmult_lib
     994.594   8863.251 # matmult_lib
    1998.375  15886.092 # matmult_lib
    3997.711  39905.197 # matmult_lib
    7993.500  54550.718 # matmult_lib
   15990.844  44948.859 # matmult_lib
   31974.000  19110.078 # matmult_lib
   63963.375   2425.337 # matmult_lib
  127896.000   3768.170 # matmult_lib
  255853.500  46357.556 # matmult_lib
  511584.000  78548.312 # matmult_lib
 1021556.344 117996.302 # matmult_lib
 2046336.000 148778.353 # matmult_lib
