4 107.81835 0.00059 1 
8 42.51691 0.01204 1 
16 301.38837 0.01359 1 
32 2250.89775 0.01456 1 
64 11942.38622 0.02195 1 
128 23599.19528 0.08887 1 
256 29389.51030 0.57086 1 
512 29858.53071 4.49512 1 
4 109.21912 0.00059 1 
8 42.52262 0.01204 1 
16 303.72251 0.01349 1 
32 2224.55274 0.01473 1 
64 11866.21949 0.02209 1 
128 23401.24063 0.08962 1 
256 37960.84496 0.44196 1 
512 41966.58199 3.19820 1 
4 103.82548 0.00062 1 
8 41.73172 0.01227 1 
16 298.69927 0.01371 1 
32 2236.39549 0.01465 1 
64 11926.05052 0.02198 1 
128 23422.15606 0.08954 1 
256 37739.49495 0.44455 1 
512 41977.54924 3.19737 1 
